**************** SMK Experiment *************
Kernels         Blocks_co               Blocks_solo     Blocks_ibc      Speedup_colo    Speedup_th      Speedup_real    Speedup_inc
VA/MM    3_5     2_6     2_6     1.141365        1.758958        1.140533       1.141365
VA/BS    3_5     3_5     2_6     1.068160        1.899818        1.068160       1.068160
VA/Reduction     4_4     2_6     2_6     1.010757        1.790987        0.992061       0.992061
VA/PF    2_6     2_6     2_6     1.340561        1.714139        1.340561       1.340561
VA/HST256        5_3     3_5     2_6     44.279948       1.789915        1.027270       1.020028
VA/GCEDD         2_6     2_6     2_6     1.247804        1.716778        1.247804       1.247804
VA/SCEDD         2_6     3_5     2_6     1.354173        1.783011        1.271020       1.354173
VA/NCEDD         2_6     2_6     2_6     1.231869        1.726397        1.231869       1.231869
VA/HCEDD         2_6     3_5     2_6     1.255023        1.772336        1.195899       1.255023
VA/SPMV_CSRscalar        4_8     6_4     4_8     1.252995        2.725919        0.879963       1.252995
VA/RCONV         3_20    5_12    3_20    1.663958        2.001384        1.424330       1.663958
VA/CCONV         3_10    4_8     4_8     1.010983        2.011452        1.010389       1.010389
MM/BS    5_3     4_4     5_3     1.102597        1.535893        1.096346       1.102597
MM/Reduction     2_6     3_5     3_5     1.021346        1.402861        1.016031       1.021346
MM/PF    7_1     3_5     4_4     0.988496        1.297762        0.942979       0.976810
MM/HST256        7_1     3_5     4_4     37.166718       1.403956        0.960058       1.004651
MM/GCEDD         2_6     3_5     3_5     1.031733        1.314492        1.014904       1.031733
MM/SCEDD         3_5     3_5     3_5     1.068811        1.397052        1.068811       1.068811
MM/NCEDD         2_6     3_5     3_5     1.051872        1.326740        1.038612       1.051872
MM/HCEDD         3_5     3_5     4_4     1.078228        1.386377        1.078228       1.078228
MM/SPMV_CSRscalar        6_4     6_4     4_4     1.406284        2.584418        1.406284       0.000000
MM/RCONV         5_12    6_8     6_8     1.012427        1.852628        1.010862       1.012427
MM/CCONV         5_6     6_4     5_6     1.110736        1.801524        1.057922       1.110736
BS/Reduction     7_1     3_5     3_5     0.993991        1.556357        0.966074       0.966074
BS/PF    3_5     3_5     3_5     1.149494        1.451258        1.149494       1.149494
BS/HST256        5_3     4_4     3_5     78.130765       1.562631        0.970090       1.018210
BS/GCEDD         3_5     3_5     3_5     1.104378        1.467989        1.104378       1.104378
BS/SCEDD         4_4     3_5     3_5     1.102901        1.550548        1.096060       1.096060
BS/NCEDD         3_5     3_5     3_5     1.083716        1.480237        1.083716       1.083716
BS/HCEDD         4_4     3_5     4_4     1.088068        1.539873        1.079203       1.088068
BS/SPMV_CSRscalar        5_6     6_4     5_6     1.399460        2.681227        1.099348       1.399460
BS/RCONV         5_12    6_8     5_12    1.598069        1.949437        1.463295       1.598069
BS/CCONV         6_4     5_6     6_4     1.085586        1.904495        1.070647       1.085586
Reduction/PF     4_4     4_4     4_4     1.077072        1.266607        1.077072       1.077072
Reduction/HST256         6_2     4_4     6_2     82.107178       1.390292        0.908911       82.107178
Reduction/GCEDD          5_3     4_4     4_4     1.033404        1.282204        1.031110       1.031110
Reduction/SCEDD          5_3     4_4     4_4     1.067977        1.367679        1.065349       1.065349
Reduction/NCEDD          3_5     4_4     4_4     1.035017        1.288472        1.032338       1.035017
Reduction/HCEDD          4_4     4_4     4_4     1.019942        1.359765        1.019942       1.019942
Reduction/SPMV_CSRscalar         6_4     6_4     6_4     1.706215        2.616447        1.706215       1.706215
Reduction/RCONV          6_8     6_8     6_4     1.301977        1.884658        1.301977       0.000000
Reduction/CCONV          5_6     6_4     6_4     1.026806        1.833554        1.026155       1.026155
PF/HST256        7_1     4_4     5_3     52.149741       1.289923        0.999657       1.017886
PF/GCEDD         4_4     4_4     4_4     0.997661        1.181835        0.997661       0.997661
