Device=TITAN X (Pascal)
*****Profiling smk 2 0
 *** bk0=7 bk1=1 time=0.008478 exec_task0=22400 exec_task1=787 tpms0=2642.081260, tmps1=92.826694
19, VA
23, VA
10, VA
18, VA
25, VA
27, VA
8, VA
11, VA
16, VA
24, VA
13, VA
15, VA
14, VA
17, VA
22, VA
12, VA
7, VA
9, VA
2, VA
5, VA
4, VA
18, VA
19, VA
21, VA
26, VA
23, VA
10, VA
0, VA
25, VA
27, VA
8, VA
11, VA
16, VA
24, VA
13, VA
15, VA
2, VA
17, VA
4, VA
12, VA
13, VA
27, VA
8, VA
5, VA
4, VA
18, VA
19, VA
15, VA
14, VA
23, VA
22, VA
24, VA
7, VA
27, VA
14, VA
11, VA
10, VA
0, VA
25, VA
15, VA
26, VA
23, VA
16, VA
12, VA
7, VA
15, VA
20, VA
11, VA
10, VA
18, VA
15, VA
14, VA
17, VA
16, VA
24, VA
9, VA
20, VA
11, VA
22, VA
0, VA
7, VA
3, VA
20, VA
11, VA
16, VA
0, VA
7, VA
3, VA
26, VA
17, VA
22, VA
1, VA
21, VA
14, VA
17, VA
16, VA
0, VA
20, VA
16, VA
17, VA
6, VA
13, VA
26, VA
3, VA
10, VA
17, VA
0, VA
19, VA
20, VA
21, VA
22, VA
11, VA
0, VA
3, VA
8, VA
23, VA
14, VA
21, VA
23, VA
9, VA
23, VA
14, VA
15, VA
22, VA
5, VA
8, VA
22, VA
19, VA
20, VA
9, VA
4, VA
5, VA
20, VA
21, VA
5, VA
7, VA
3, VA
4, VA
5, VA
7, VA
3, VA
4, VA
1, VA
3, VA
10, VA
10, VA
19, VA
19, VA
1, VA
18, VA
1, VA
9, VA
2, VA
27, VA
18, VA
1, VA
18, VA
12, VA
27, VA
1, VA
2, VA
1, VA
27, VA
5, VA
2, VA
6, VA
26, VA
6, VA
6, VA
26, VA
6, VA
6, VA
26, VA
6, VA
4, VA
12, VA
12, VA
12, VA
9, VA
21, VA
21, VA
2, VA
9, VA
13, VA
24, VA
24, VA
13, VA
24, VA
13, VA
8, VA
8, VA
2, VA
25, VA
25, VA
25, VA
25, VA
2, MM
5, MM
21, MM
17, MM
15, MM
9, MM
27, MM
7, MM
8, MM
19, MM
22, MM
16, MM
13, MM
25, MM
10, MM
3, MM
11, MM
26, MM
1, MM
23, MM
4, MM
14, MM
20, MM
18, MM
6, MM
12, MM
24, MM
0, MM
 *** bk0=6 bk1=2 time=0.008860 exec_task0=22400 exec_task1=1761 tpms0=2528.184963, tmps1=198.755970
17, VA
17, VA
17, VA
17, VA
17, VA
17, VA
23, VA
23, VA
12, VA
18, VA
24, VA
12, VA
18, VA
24, VA
6, VA
18, VA
24, VA
18, VA
24, VA
16, VA
18, VA
22, VA
24, VA
16, VA
24, VA
22, VA
18, VA
16, VA
16, VA
16, VA
22, VA
16, VA
22, VA
22, VA
14, VA
26, VA
8, VA
14, VA
14, VA
22, VA
26, VA
23, VA
8, VA
10, VA
6, VA
26, VA
10, VA
8, VA
8, VA
8, VA
23, VA
14, VA
14, VA
26, VA
10, VA
14, VA
11, VA
11, VA
8, VA
0, VA
12, VA
10, VA
13, VA
19, VA
25, VA
7, VA
25, VA
27, VA
11, VA
12, VA
4, VA
19, VA
15, VA
20, VA
11, VA
4, VA
13, VA
9, VA
20, VA
11, VA
4, VA
7, VA
21, VA
0, VA
19, VA
27, VA
11, VA
12, VA
13, VA
15, VA
12, VA
13, VA
21, VA
19, VA
21, VA
13, VA
10, VA
6, VA
9, VA
7, VA
27, VA
13, VA
15, VA
7, VA
27, VA
15, VA
27, VA
15, VA
27, VA
15, VA
3, VA
21, VA
9, VA
3, VA
10, VA
0, VA
9, VA
6, VA
0, VA
2, VA
5, VA
4, VA
9, VA
0, VA
2, VA
5, VA
9, VA
0, VA
19, VA
5, VA
1, VA
1, VA
21, VA
21, VA
3, VA
3, VA
26, VA
19, VA
3, VA
1, VA
7, VA
4, VA
3, VA
4, VA
5, VA
7, VA
1, VA
5, VA
1, VA
25, VA
6, VA
5, VA
25, VA
20, VA
25, VA
20, VA
1, VA
25, VA
20, VA
26, VA
6, VA
20, VA
2, VA
2, VA
2, VA
2, VA
23, VA
23, VA
12, MM
12, MM
17, MM
17, MM
6, MM
6, MM
10, MM
10, MM
5, MM
4, MM
4, MM
24, MM
16, MM
18, MM
22, MM
16, MM
20, MM
20, MM
0, MM
2, MM
2, MM
26, MM
19, MM
19, MM
0, MM
25, MM
25, MM
13, MM
9, MM
21, MM
15, MM
15, MM
13, MM
27, MM
1, MM
9, MM
11, MM
1, MM
24, MM
5, MM
11, MM
8, MM
3, MM
3, MM
26, MM
27, MM
18, MM
8, MM
23, MM
23, MM
21, MM
7, MM
14, MM
14, MM
7, MM
22, MM
 *** bk0=5 bk1=3 time=0.009346 exec_task0=22400 exec_task1=3053 tpms0=2396.745143, tmps1=326.663523
17, VA
17, VA
17, VA
17, VA
12, VA
16, VA
24, VA
16, VA
12, VA
22, VA
10, VA
18, VA
16, VA
12, VA
22, VA
23, VA
0, VA
10, VA
11, VA
16, VA
18, VA
11, VA
22, VA
18, VA
10, VA
18, VA
16, VA
24, VA
4, VA
0, VA
22, VA
0, VA
4, VA
14, VA
25, VA
26, VA
13, VA
15, VA
18, VA
19, VA
14, VA
27, VA
25, VA
26, VA
6, VA
21, VA
13, VA
23, VA
0, VA
15, VA
19, VA
14, VA
6, VA
27, VA
7, VA
14, VA
21, VA
6, VA
13, VA
14, VA
15, VA
19, VA
15, VA
7, VA
20, VA
15, VA
6, VA
13, VA
20, VA
0, VA
19, VA
13, VA
10, VA
22, VA
10, VA
17, VA
6, VA
19, VA
8, VA
